url_slug,name,address,street,city,state,zip_code,phone,website,architect,architect_alt,public_private,hole,year_built,guest_policy,credit_card,golf_season,range,rental_club,pro_in_house,metal_spikes_okay,weekday,weekend,tee_time_welcomed,rental_cart_available,championship_par,championship_yards,championship_slope,championship_usga,middle_par,middle_yards,middle_slope,middle_usga,forward_par,forward_yards,forward_slope,forward_usga,top_100_ranking,_source
meriwether-national-golf-course-south,"Meriwether National Golf Course, South",5200 SW Rood Bridge Rd,5200 SW Roodbridge Rd,Hillsboro,Oregon,97123,(503) 648-4143,www.meriwethergolfclub.com,Dave Powers,Fred Federspiel,Public,18,1993,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,72,6752,115,71.30,72,6329,111,69.10,72,5665,114,72.30,,courses-data-18139
meriwether-national-golf-course-west,"Meriwether National Golf Course, West",5200 SW Rood Bridge Rd,5200 SW Roodbridge Rd,Hillsboro,Oregon,97123,(503) 648-4143,www.meriwethergolfclub.com,Dave Powers,Dave Powers,Public,18,1993,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,72,6752,115,71.30,72,6329,111,69.10,72,5665,114,72.30,,courses-data-18139
valley-golf-club,Valley Golf Club,Off Highway #20,345 Hines Blvd,Hines,Oregon,97738,(541) 573-6251,,Shelby McCool,Shelby McCool,Semi-Private,9,1939,Open,None,year round,No,Yes,,Yes,$,$,No,Yes,,,,,36,3190,107,34.70,36,2747,117,36.60,,courses-data-18139
hood-river-golf-course,Hood River Golf Course,1850 Country Club Rd,1850 Country Club Rd,Hood River,Oregon,97031,(541) 386-3009,www.hoodrivergolf.com,H. Chandler Egan & George Junor,H. Chandler Eagan/George Junor,Public,9,1922,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,,,,,36,2980,111,33.80,36,2650,104,34.20,,courses-data-18139
indian-creek-golf-course,Indian Creek Golf Course,3605 Brookside Dr,3605 Brookside Rd,Hood River,Oregon,97031,(541) 386-7770,www.indiancreekgolf.com,Buny Mason,Dave Martin,Public,18,1989,Open,"VISA, MasterCard, Discover Welcomed",year round,Yes,Yes,,No,$,$,Yes,Yes,72,6118,126,70.00,72,5365,118,67.40,72,4547,116,67.70,,courses-data-18139
oak-knoll-golf-course,Oak Knoll Golf Course,6335 Highway 22,6335 Hwy 22,Independence,Oregon,97351,(503) 378-0344,www.oakknollgolfcourse.com,Bill Ashby,Al Olsen,Public,18,1926,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,72,6208,113,68.60,72,5909,111,67.10,72,5239,113,69.20,,courses-data-18139
john-day-golf-club-inc,"John Day Golf Club, Inc.",27631 Golf Club Ln,W Hwy 26,John Day,Oregon,97845,(541) 575-0170,,,,Semi-Private,9,1953,Open,VISA Welcomed,year round,Yes,Yes,,Yes,$,$,No,Yes,,,,,35,2930,111,33.60,37,2854,111,35.60,,courses-data-18139
shadow-hills-country-club,Shadow Hills Country Club,92512 River Rd,92512 River Rd,Junction City,Oregon,97448,(541) 998-8441,shadowhillscc.org,Alex Kindsfather,Bill Robinson,Private,18,1962,Reciprocal,"VISA, MasterCard Welcomed",year round,Yes,Yes,,No,$$,$$,Yes,Yes,72,7007,135,73.80,72,6726,133,72.50,72,5348,118,70.40,,courses-data-18139
king-city-golf-course,King City Golf Course,15355 SW Royalty Pkwy,15355 SW Royalty Pkwy,King City,Oregon,97224,(503) 639-7986,,,,Semi-Private,9,1958,Open,None,year round,No,Yes,,Yes,$,$,Yes,Yes,,,,,34,2428,90,31.00,35,2284,96,32.30,,courses-data-18139
harbor-links-golf-course,Harbor Links Golf Course,601 Harbor Isle Blvd,601 Harbor Isles Blvd,Klamath Falls,Oregon,97601,(541) 882-0609,,Ren Black,Ken Black,Public,18,1985,Open,"VISA, MasterCard, Amex, Discover Welcomed",year round,Yes,Yes,,No,$,$,Yes,Yes,72,6272,117,69.30,72,6090,115,68.50,72,5709,119,71.20,,courses-data-18139
round-lake-resort,Round Lake Resort,4000 Round Lake Rd,4000 Round Lake Rd,Klamath Falls,Oregon,97601,(541) 884-2520,www.roundlakerv.com,,,Public,9,1972,Open,None,Open: 3/15 Closed: 11/01,No,Yes,,Yes,$,$,No,No,,,,,29,1512,,,29,1512,,,,courses-data-18139
shield-crest-golf-course,Shield Crest Golf Course,3151 Shield Crest Dr,3151 Shield Crest Dr,Klamath Falls,Oregon,97603,(541) 884-1493,www.shieldcrestgc.com,Lyman & Magnum,,Semi-Private,18,1988,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,No,$,$,Yes,Yes,72,7005,122,72.10,72,6637,120,70.60,74,5464,118,73.40,,courses-data-18139
la-grande-country-club,La Grande Country Club,10603 S McAlister Rd,10605 S McAllister Rd,La Grande,Oregon,97850,(541) 963-4241,www.lagrandecountryclub.com,B.B. Baker,B.B. Baker,Private,9,1928,Reciprocal,"VISA, MasterCard Welcomed",year round,Yes,Yes,,No,$,$,Yes,Yes,,,,,36,3267,123,35.30,38,2858,120,35.50,,courses-data-18139
oswego-lake-country-club,Oswego Lake Country Club,20 Iron Mountain Blvd,20 Iron Mountain Blvd,Lake Oswego,Oregon,97034,(503) 635-3659,www.oswegolakecountryclub.com,H. Chandler Egan,H. Chandler Egan,Private,18,1926,Reciprocal,None,year round,Yes,Yes,,Yes,$$,$$,Yes,Yes,71,6557,132,71.90,71,6286,127,70.60,73,5382,121,71.90,,courses-data-18139
lake-oswego-municipal-golf-course,Lake Oswego Municipal Golf Course,17525 Stafford Rd,17525 SW Stafford Rd,Lake Oswego,Oregon,97034,(503) 636-8228,www.lakeoswegogolf.org,Shirley Stone,Shirley Stone,Public,18,1964,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,No,,,,,54,2693,,,54,2693,,,,courses-data-18139
lakeridge-golf-course,Lakeridge Golf Course,94378 Highway 140,Hwy 140,Lakeview,Oregon,97630,(541) 947-3855,,Charles Sullivan,Charles Sullivan,Public,9,,Open,"VISA, MasterCard Welcomed",Open: 3/01 Closed: 10/31,Yes,Yes,,Yes,$,$,No,Yes,,,,,36,3324,119,35.00,37,2898,121,35.90,,courses-data-18139
pineway-golf-course,Pineway Golf Course,30949 Pineway Rd,30949 Pineway Rd,Lebanon,Oregon,97355,(541) 258-8815,,Fred Federspiel,Fred Federspiel,Public,9,1958,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,No,$,$,Yes,Yes,,,,,36,2967,108,34.00,37,2903,119,36.60,,courses-data-18139
chinook-winds-golf-resort,Chinook Winds Golf Resort,3245 NE 50th St,3245 Club House Dr,Lincoln City,Oregon,97367,(541) 994-8442,www.chinookwindscasino.com,,,Semi-Private,18,1926,Open,"VISA, MasterCard, Amex, Discover Welcomed",year round,Yes,Yes,,No,$,$,Yes,Yes,66,4636,102,62.00,66,4310,99,61.10,71,3972,96,62.10,,courses-data-18139
elkhorn-valley-golf-course,Elkhorn Valley Golf Course,32295 N Fork Rd SE,32295 N Fork Rd,Lyons,Oregon,97358,(503) 897-3368,www.elkhorngolf.com,Don Cutler,Don Cutler,Public,9,1977,Open,"VISA, MasterCard, Discover Welcomed",Open: 3/01 Closed: 11/01,No,Yes,,Yes,$,$,Yes,Yes,36,3169,136,71.40,36,2829,126,68.80,36,2009,116,63.80,,courses-data-18139
manzanita-golf-course,Manzanita Golf Course,908 Lakeview Drive,Lakeview Dr,Manzanita,Oregon,97130,(503) 368-5744,,Ted Erickson,Ted Erickson,Public,9,1987,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,No,,,,,32,2192,97,30.90,33,2100,102,31.60,,courses-data-18139
michelbook-country-club,Michelbook Country Club,1301 NW Michelbook Ln,1301 Michelbook Ln,McMinnville,Oregon,97128,(503) 472-8079,www.michelbook.com,Shirley Stone,Shirley Stone,Private,18,1964,Reciprocal,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,72,6581,126,71.40,72,6212,124,69.90,72,5599,122,72.20,,courses-data-18139
bayou-golf-club-bayou,"Bayou Golf Club, Bayou",9301 SW Bayou Dr,9301 SW Bayou Dr,McMinnville,Oregon,97128,(503) 472-4651,www.bayougolfcourse.com,William Sander,William Sander,Public,9,1964,Open,None,Open: 2/01 Closed: 11/01,Yes,Yes,,Yes,$,$,Yes,Yes,,,,,27,1020,,,27,950,,,,courses-data-18139
bayou-golf-club-par-3,"Bayou Golf Club, Par-3",9301 SW Bayou Dr,9301 SW Bayou Dr,McMinnville,Oregon,97128,(503) 472-4651,www.bayougolfcourse.com,William Sander,William Sander,Public,9,1964,Open,None,Open: 2/01 Closed: 11/01,Yes,Yes,,Yes,$,$,Yes,Yes,,,,,27,1020,,,27,950,,,,courses-data-18139
rogue-valley-country-club-oaks,"Rogue Valley Country Club, Oaks",2660 Hillcrest Rd,2660 Hillcrest Rd,Medford,Oregon,97504,(541) 772-4050,www.rvcc.com,H. Chandler Egan,"H. Chandler Egan/(R) Robert Muir Graves, ASGCA",Private,9,1927,Reciprocal,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$$,$$,Yes,Yes,35,3275,128,36.00,35,3071,124,35.00,37,2941,132,37.70,,courses-data-18139
rogue-valley-country-club-rogue-valley,"Rogue Valley Country Club, Rogue Valley",2660 Hillcrest Rd,2660 Hillcrest Rd,Medford,Oregon,97504,(541) 772-4050,www.rvcc.com,H. Chandler Egan,"H. Chandler Egan/(R) Robert Muir Graves, ASGCA",Private,9,1927,Reciprocal,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$$,$$,Yes,Yes,35,3275,128,36.00,35,3071,124,35.00,37,2941,132,37.70,,courses-data-18139
bear-creek-golf-course,Bear Creek Golf Course,2355 S Pacific Hwy,2355 S Pacific Hwy,Medford,Oregon,97501,(541) 773-1822,www.golfbearcreek.com,Shirley Stone,Sharon Wright,Public,9,1965,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,No,No,,,,,28,1509,84,28.30,30,1509,82,28.00,,courses-data-18139
stewart-meadows-golf-course,Stewart Meadows Golf Course,1301 S Holly St,1301 S Holly St,Medford,Oregon,97501,(541) 770-6554,www.stewartmeadows.com,Chuck Mangum,Chuck Mangum,Public,9,1994,Open,"VISA, MasterCard Welcomed",year round,Yes,No,,Yes,$,$,Yes,Yes,,,,,35,2910,115,33.80,35,2466,115,34.10,,courses-data-18139
quail-point-golf-course,Quail Point Golf Course,1200 Mira Mar Ave,1200 Mira Mar Ave,Medford,Oregon,97504,(541) 857-7000,quailpointgolf.com,,"(R)John Fought, ASGCA",Semi-Private,9,1993,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,35,3056,123,34.70,35,2949,120,34.00,35,2557,115,34.20,,courses-data-18139
milton-freewater-golf-course,Milton-Freewater Golf Course,301 Catherine Ave,301 Catherine Ave,Milton Freewater,Oregon,97862,(541) 938-7284,www.mfcity.com,George McRae,George McRae,Public,18,1974,Open,None,year round,No,Yes,,Yes,$,$,Yes,Yes,,,,,60,3346,80,55.40,61,3314,83,58.10,,courses-data-18139
arrowhead-golf-club,Arrowhead Golf Club,28301 S Highway 213,28301 S Hwy 213,Molalla,Oregon,97038,(503) 829-8080,www.golfarrowhead.com,Kip Kappler,"Craig Schreiner, ASGCA",Private,18,1961,Reciprocal,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,72,6343,123,70.50,72,6050,119,68.70,73,5253,106,69.40,,courses-data-18139
evergreen-golf-club,Evergreen Golf Club,11694 W Church Rd NE,11694 W Church Rd NE,Mount Angel,Oregon,97362,(503) 845-9911,www.evergreenoregon.com,Bill Schaefer,Bill Schaefer,Public,9,1960,Open,"VISA, MasterCard, Discover Welcomed",year round,No,Yes,,Yes,$,$,Yes,Yes,,,,,36,3021,114,34.30,36,3021,114,35.40,,courses-data-18139
myrtle-creek-golf-course,Myrtle Creek Golf Course,1316 SE Fairway Dr,Fairway Dr,Myrtle Creek,Oregon,97457,(541) 863-4653,www.myrtlecreekgolf.com,Graham Cooke,Graham Cooke,Public,18,1997,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,72,6637,135,72.30,72,6387,129,70.20,72,5418,137,72.80,,courses-data-18139
neskowin-marsh-golf-course,Neskowin Marsh Golf Course,48405 Hawk Street,48405 Hawk St,Neskowin,Oregon,97149,(503) 392-3377,,Ercel Kay,Ercel Kay,Public,9,1932,Open,"VISA, MasterCard Welcomed",Open: 5/01 Closed: 11/01,No,Yes,,Yes,$,$,Yes,Yes,,,,,35,2591,103,32.70,35,2448,110,33.90,,courses-data-18139
agate-beach-golf-course,Agate Beach Golf Course,4100 N Coast Hwy,4100 N Coast Hwy,Newport,Oregon,97365,(541) 265-7331,www.agatebeachgolf.net,Frank Stenzel,Frank Stenzel,Public,9,1931,Open,"VISA, MasterCard, Discover Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,,,,,36,3002,107,33.00,38,2894,109,34.70,,courses-data-18139
circle-bar-golf-club,Circle Bar Golf Club,48447 Westoak Rd,48447 W Oak Rd,Oakridge,Oregon,97463,(541) 782-3541,www.circlebargolf.org,Clarence Sutton,Clarence Sutton,Semi-Private,9,1952,Open,None,Open: 3/01 Closed: 11/01,No,Yes,,Yes,$,$,Yes,Yes,,,,,36,3281,123,37.10,37,2985,118,36.50,,courses-data-18139
ontario-golf-club,Ontario Golf Club,1345 Golf Course Rd,1345 Golf Course Rd,Ontario,Oregon,97914,(541) 889-9022,www.oregongolf.com/ontario,Bob E. Baldock,Bob E. Baldock,Public,18,1964,Open,"VISA, MasterCard Welcomed",Open: 3/01 Closed: 11/15,Yes,Yes,,Yes,$,$,Yes,Yes,72,6795,111,70.40,72,6502,111,69.30,74,5742,120,73.30,,courses-data-18139
wildhorse-resort-golf-course,Wildhorse Resort Golf Course,72787 Highway 331,72787 Hwy 331,Pendleton,Oregon,97801,(541) 276-5588,www.wildhorseresort.com,John Steidel,"John Steidel, ASGCA",Resort,18,1997,Open,"VISA, MasterCard, Amex, Discover Welcomed",year round,Yes,Yes,,No,$,$,Yes,Yes,72,7112,125,73.80,72,6647,120,70.90,72,5718,122,72.10,,courses-data-18139
columbia-edgewater-country-club-columbia-edgewater-countr,"Columbia Edgewater Country Club, Columbia-Edgewater Countr",2220 NE Marine Dr,2220 NE Marine Dr,Portland,Oregon,97211,(503) 285-8354,www.cecc.com,Vernon Macan,"A. Vernon Macan, ASGCA",Private,18,1925,Reciprocal,"VISA, MasterCard Welcomed",year round,Yes,Yes,,No,$$,$$,Yes,Yes,71,6702,131,72.90,71,6021,124,69.60,72,5416,125,71.50,,courses-data-18139
columbia-edgewater-country-club-par-3,"Columbia Edgewater Country Club, Par 3",2220 NE Marine Dr,2220 NE Marine Dr,Portland,Oregon,97211,(503) 285-8354,www.cecc.com,Vernon Macan,"Bunny Mason, Dan Hixson, Gordon Kiyokawa",Private,18,1925,Reciprocal,"VISA, MasterCard Welcomed",year round,Yes,Yes,,No,$$,$$,Yes,Yes,71,6702,131,72.90,71,6021,124,69.60,72,5416,125,71.50,,courses-data-18139
portland-golf-club,Portland Golf Club,5900 SW Scholls Ferry Rd,5900 SW Scholls Ferry Rd,Portland,Oregon,97225,(503) 292-2778,www.portlandgolfclub.com,George Turnbull,George Turnbull,Private,18,1914,Reciprocal,None,year round,Yes,Yes,,Yes,$$$,$$$,Yes,Yes,72,6683,131,72.40,72,6323,127,70.80,73,5868,127,74.00,,courses-data-18139
riverside-golf-and-country-club,Riverside Golf & Country Club,8105 NE 33rd Dr,8105 NE 33rd Dr,Portland,Oregon,97211,(503) 282-7265,www.riversidegcc.com,James Henderson,H. Chandler Egan,Private,18,1926,Reciprocal,"VISA, MasterCard Welcomed",year round,Yes,Yes,,No,$,$,Yes,Yes,72,6624,129,72.20,72,6393,128,71.40,73,5738,130,74.10,,courses-data-18139
rock-creek-country-club,Rock Creek Country Club,5100 NW Neakahnie Ave,5100 NW Neakahnie Ave,Portland,Oregon,97229,(503) 645-1101,www.rockcreekcountryclub.com,William Sander,William Sander,Private,18,1958,Reciprocal,None,year round,Yes,Yes,,Yes,$,$,Yes,Yes,72,6637,123,71.90,72,6415,122,71.00,74,5629,135,77.10,,courses-data-18139
waverley-country-club,Waverley Country Club,1100 SE Waverly Dr,1100 SE Waverly Dr,Portland,Oregon,97222,(503) 654-9509,www.waverley.cc,Jack Moffett,Jack Moffitt,Private,18,1896,Reciprocal,None,year round,Yes,Yes,,Yes,$$,$$,No,Yes,72,6465,119,71.60,72,6282,116,70.40,72,5875,126,74.10,,courses-data-18139
broadmoor-golf-course,Broadmoor Golf Course,3509 NE Columbia Blvd,3509 NE Columbia Blvd,Portland,Oregon,97211,(503) 281-1337,www.broadmoor-1931.com,George Junor,George Junor,Public,18,1932,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,72,6467,122,70.20,72,6023,116,68.20,73,5388,110,69.90,,courses-data-18139
claremont-golf-club,Claremont Golf Club,15800 NW Country Club Dr,15800 NW Country Club Dr,Portland,Oregon,97229,(503) 690-4589,www.claremontgolfclub.com,,John Slavghter,Public,9,1989,Open,"VISA, MasterCard Welcomed",year round,No,Yes,,No,$,$,Yes,Yes,36,3054,116,34.30,36,2961,109,33.00,37,2692,114,35.20,,courses-data-18139
colwood-national-golf-club,Colwood National Golf Club,7313 NE Columbia Blvd,7313 NE Columbia Blvd,Portland,Oregon,97218,(503) 254-5515,www.colwoodgolfclub.com,Vernon Macan,"A. Vernon Macan, ASGCA",Public,18,1929,Open,"VISA, MasterCard Welcomed",year round,No,Yes,,Yes,$,$,Yes,Yes,,,,,70,5600,108,66.20,74,5164,107,68.50,,courses-data-18139
eastmoreland-golf-course,Eastmoreland Golf Course,2425 SE Bybee Blvd,2425 SE Bybee Blvd,Portland,Oregon,97202,(503) 775-2900,www.eastmorelandgolfcourse.com,H. Chandler Egan,H. Chadler Eagan,Public,18,1921,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,72,6529,127,72.20,72,6106,120,69.80,74,5646,119,72.50,,courses-data-18139
glendoveer-golf-course-east,"Glendoveer Golf Course, East",14015 NE Glisan St,14015 NE Glisan St,Portland,Oregon,97230,(503) 253-7507,,Frank Stenzel,John Junor,Public,18,1928,Open,None,year round,Yes,Yes,,Yes,$,$,Yes,Yes,71,5922,111,67.50,71,5576,109,66.20,75,5117,106,68.20,,courses-data-18139
glendoveer-golf-course-west,"Glendoveer Golf Course, West",14015 NE Glisan St,14015 NE Glisan St,Portland,Oregon,97230,(503) 253-7507,,Frank Stenzel,Frank Stenzel,Public,18,1928,Open,None,year round,Yes,Yes,,Yes,$,$,Yes,Yes,71,5922,111,67.50,71,5576,109,66.20,75,5117,106,68.20,,courses-data-18139
heron-lakes-golf-course-great-blue,"Heron Lakes Golf Course, Great Blue",3500 N Victory Blvd,3500 N Victory Blvd,Portland,Oregon,97217,(503) 289-1818,www.heronlakesgolf.com,"Robert Trent Jones, Jr.","Robert Trent Jones, Jr., ASGCA",Public,18,1993,Open,"VISA, MasterCard, Discover Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,72,6504,128,71.30,72,6056,122,69.40,72,5285,120,69.80,,courses-data-18139
heron-lakes-golf-course-the-greenback,"Heron Lakes Golf Course, The Greenback",3500 N Victory Blvd,3500 N Victory Blvd,Portland,Oregon,97217,(503) 289-1818,www.heronlakesgolf.com,"Robert Trent Jones, Jr.","Robert Trent Jones, ASGCA",Public,18,1993,Open,"VISA, MasterCard, Discover Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,72,6504,128,71.30,72,6056,122,69.40,72,5285,120,69.80,,courses-data-18139
portland-meadows-golf-course,Portland Meadows Golf Course,901 N Schmeer Rd,901 N Schmeer Rd,Portland,Oregon,97217,(503) 289-3405,www.portlandmeadows.com/Golf+Course,Eddie Hogan & Stan Terry,Eddie Hogan/Stan Terry,Public,9,1961,Open,None,Open: 5/01 Closed: 9/01,Yes,Yes,,Yes,$,$,No,No,,,,,31,1983,,,35,1983,,,,courses-data-18139
rose-city-golf-course,Rose City Golf Course,2200 NE 71st Ave,2200 NE 71St Ave,Portland,Oregon,97213,(503) 253-4744,www.rosecitygc.com,George Otten,George Otten,Public,18,1923,Open,"VISA, MasterCard, Discover Welcomed",year round,No,Yes,,Yes,$,$,Yes,Yes,72,6520,118,71.90,72,6133,115,69.20,73,5582,111,71.60,,courses-data-18139
wildwood-golf-course,Wildwood Golf Course,21881 NW Saint Helens Rd,21881 NW St Helens Rd,Portland,Oregon,97231,(503) 621-3402,,Bill O'Meara,Bill O'Meara,Public,18,1990,Open,"VISA, MasterCard Welcomed",year round,No,Yes,,Yes,$,$,Yes,Yes,,,,,72,5756,111,68.10,72,4985,117,68.40,,courses-data-18139
prineville-golf-and-country-club,Prineville Golf & Country Club,7120 NE Ochoco Hwy,7120 Ochoco Hwy,Prineville,Oregon,97754,(541) 447-7266,www.golfprineville.com,"E. Hogan, T. Longworth & G. Junor",Eddie Hogan/T. Longworth/George Junor,Private,9,1956,Reciprocal,VISA Welcomed,year round,Yes,Yes,,No,$,$,No,Yes,,,,,33,2525,112,32.10,34,2268,113,33.60,,courses-data-18139
meadow-lakes-golf-course,Meadow Lakes Golf Course,300 SW Meadowlakes Dr,300 Meadow Lakes Dr,Prineville,Oregon,97754,(541) 447-7113,www.meadowlakesgc.com,William G. Robinson,Bill Robinson,Public,18,1993,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,72,6731,131,73.10,72,6398,128,71.80,72,5155,121,69.00,,courses-data-18139
the-greens-at-redmond,The Greens at Redmond,2575 SW Greens Blvd,2575 SW Greens Blvd,Redmond,Oregon,97756,(541) 923-0694,www.greensatredmond.com,Robert Muir Graves,"Robert Muir Graves, ASGCA",Public,9,1995,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,No,Yes,29,1686,100,29.50,29,1505,95,28.80,29,1220,93,28.60,,courses-data-18139
eagle-crest-golf-resort-challenge-course,"Eagle Crest Golf Resort, Challenge Course",1522 Cline Falls Rd,1522 Cline Falls Rd,Redmond,Oregon,97756,(541) 923-4653,www.eagle-crest.com,John Thronson,John Thronson,Resort,18,1992,Open,"VISA, MasterCard, Amex, Discover Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,72,6927,131,73.00,72,6524,125,70.70,72,4792,115,66.10,,courses-data-18139
eagle-crest-golf-resort-resort,"Eagle Crest Golf Resort, Resort",1522 Cline Falls Rd,1522 Cline Falls Rd,Redmond,Oregon,97756,(541) 923-4653,www.eagle-crest.com,John Thronson,Gene Mason,Resort,18,1992,Open,"VISA, MasterCard, Amex, Discover Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,72,6927,131,73.00,72,6524,125,70.70,72,4792,115,66.10,,courses-data-18139
eagle-crest-golf-resort-ridge,"Eagle Crest Golf Resort, Ridge",1522 Cline Falls Rd,1522 Cline Falls Rd,Redmond,Oregon,97756,(541) 923-4653,www.eagle-crest.com,John Thronson,John Thronson,Resort,18,1992,Open,"VISA, MasterCard, Amex, Discover Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,72,6927,131,73.00,72,6524,125,70.70,72,4792,115,66.10,,courses-data-18139
juniper-golf-club,Juniper Golf Club,1938 SW Elkhorn Ave,139 SE Sisters Ave,Redmond,Oregon,97756,(541) 548-3121,www.junipergolf.com,Fred Sparks,"John F. Harbottle, III, ASGCA",Semi-Private,18,1945,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,72,6543,124,71.30,72,6241,120,69.80,72,5609,115,70.90,,courses-data-18139
forest-hills-country-club,Forest Hills Country Club,1 Country Club Dr,1 Country Club Dr,Reedsport,Oregon,97467,(541) 271-2626,www.reedsportgolfing.com,,,Semi-Private,9,1960,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,,,,,36,3108,120,34.90,37,2774,114,35.80,,courses-data-18139
roseburg-country-club,Roseburg Country Club,5051 Garden Valley Rd,5051 Garden Valley Rd,Roseburg,Oregon,97470,(541) 672-4041,www.roseburgcountryclub.com,George Junor,George Junor/(R) Gene Mason,Private,18,1923,Reciprocal,None,year round,Yes,Yes,,No,$,$,Yes,Yes,71,6484,125,70.50,71,6049,119,68.90,72,5394,116,70.80,,courses-data-18139
stewart-park-municipal-golf-course,Stewart Park Municipal Golf Course,1005 NW Stewart Pkwy,1005 Stewart Pkwy Dr,Roseburg,Oregon,97470,(541) 672-4592,www.ci.roseburg.or.us/park/parkGolf.php,,,Public,9,1960,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,,,,,35,2909,112,34.40,37,2778,118,36.80,,courses-data-18139
creekside-golf-course,Creekside Golf Course,6250 Club House Dr SE,6250 Club House Dr SE,Salem,Oregon,97306,(503) 363-4653,www.golfcreekside.com,Peter Jacobsen,Peter Jacobsen,Private,18,1993,Reciprocal,"VISA, MasterCard, Amex Welcomed",year round,Yes,Yes,,No,$,$,Yes,Yes,72,6887,131,73.60,72,6521,128,71.90,72,5596,130,72.60,,courses-data-18139
illahe-hills-country-club,Illahe Hills Country Club,3376 Country Club Dr S,3376 Country Club Rd S,Salem,Oregon,97302,(503) 581-3233,www.illahehills.com,William F. Bell,"William F. Bell, ASGCA/(R) Robert Muir Graves, ASGCA",Private,18,1961,Reciprocal,"VISA, MasterCard Welcomed",year round,Yes,Yes,,No,$,$,Yes,Yes,72,6735,130,72.40,72,6411,128,70.80,73,5621,126,72.70,,courses-data-18139
auburn-center-golf-club,Auburn Center Golf Club,5220 Center St NE,5220 Center St NE,Salem,Oregon,97301,(503) 363-4404,,Wayne & Sue Larson,Wayne Larson/Sue Larson,Public,9,,Open,None,year round,No,Yes,,Yes,$,$,No,No,,,,,29,1338,,,29,1338,,,,courses-data-18139
meadowlawn-golf-course,Meadowlawn Golf Course,3898 Meadowlawn Loop SE,3898 Meadowlawn Loop SE,Salem,Oregon,97301,(503) 363-7391,www.meadowlawngolf.net,Lee Ohmart,Lee Ohmart,Public,9,1968,Open,None,year round,No,Yes,,Yes,$,$,Yes,Yes,,,,,32,2043,92,29.30,32,1905,92,30.30,,courses-data-18139
salem-golf-club,Salem Golf Club,2025 Golf Course Rd S,2025 Golf Course Rd S,Salem,Oregon,97302,(503) 363-6652,www.salemgolfclub.com,Ercel Kay,Ercel Kay,Semi-Private,18,1928,Open,"VISA, MasterCard Welcomed",year round,Yes,Yes,,Yes,$,$,Yes,Yes,72,6200,114,68.40,72,5692,112,67.10,72,5163,113,68.10,,courses-data-18139
seaside-golf-course,Seaside Golf Course,451 Avenue U,451 Ave U,Seaside,Oregon,97138,(503) 738-5261,,H. Chandler Egan,H. Chandler Egan,Public,9,1921,Open,"VISA, MasterCard, Discover Welcomed",year round,No,Yes,,Yes,$,$,No,Yes,,,,,35,2593,104,32.50,35,2593,104,33.30,,courses-data-18139
bear-valley-meadows-golf-course,Bear Valley Meadows Golf Course,12 Valley Way,12 Valley Way,Seneca,Oregon,97873,(541) 542-2161,www.pasturegolf.com/bear.htm,Lee Brune,Lee Brune,Public,9,1996,Open,None,Open: 5/01 Closed: 10/01,Yes,Yes,,No,,,No,No,,,,,36,3550,,,36,3550,,,,courses-data-18139
